FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,CarbohydrateAmount_g,CholesterolAmount_mg,DietaryFibreAmount_g,EnergyAmount_kcal,GlycemicIndexAmount,ProteinAmount_g,SugarAmount_g,MonounsaturatedFatAmount_g,PolyunsaturatedFatAmount_g,SaturatedFatAmount_g,TotalFatAmount_g,Vegan,Vegetarian,Halal,ContainsBeef
"Apple pie, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Piece (85g),26.0,0.0,2.0,232.05,48.45,1.7,8.84,5.02,0.56,6.3,13.0,True,True,True,False
Apple strudel,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (128g),35.97,26.88,3.97,282.88,,3.46,17.15,3.85,0.7,7.78,13.95,True,True,True,False
"Apple, dried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fruit and fruit products,Packet (101g),77.27,0.0,9.9,356.53,,0.0,58.18,0.02,0.24,0.12,0.51,True,True,True,False
"Apple, green, raw, with peel, core and stalk",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (156g),16.69,0.0,3.59,76.88,,0.47,16.38,0.0,0.0,0.0,0.0,True,True,True,False
"Apple, red, raw, with peel, core and stalk",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (185g),23.68,0.0,4.07,104.45,,0.56,22.94,0.0,0.0,0.0,0.0,True,True,True,False
"Apple, stewed with sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (187g),32.35,0.0,2.99,127.83,,0.56,31.79,,0.19,,0.37,True,True,True,False
"Apple, stewed without sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (180g),14.76,0.0,2.88,61.95,,0.54,14.22,,0.18,,0.54,True,True,True,False
"Apple, unspecified type, red, raw, with skin",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (150g),18.3,0.0,3.45,86.13,,0.45,18.0,0.0,0.0,0.0,0.3,True,True,True,False
"Apples, raw, without skin",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (139g),17.74,0.0,1.81,66.72,,0.38,14.04,0.01,0.05,0.03,0.18,True,True,True,False
Apricot nectar juice drink,BEVERAGES,Non-alcoholic beverages,Cup (265g),34.19,0.0,,136.93,,0.8,34.19,0.0,0.0,0.0,0.0,True,True,True,False
