FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,CarbohydrateAmount_g,CholesterolAmount_mg,DietaryFibreAmount_g,EnergyAmount_kcal,GlycemicIndexAmount,ProteinAmount_g,SugarAmount_g,MonounsaturatedFatAmount_g,PolyunsaturatedFatAmount_g,SaturatedFatAmount_g,TotalFatAmount_g,Vegan,Vegetarian,Halal,ContainsBeef
Hydrolysed vegetable protein,MISCELLANEOUS,Others,Gram (1g),0.14,,0.0,1.79,,0.3,,,,,0.02,True,True,True,False
Ice cream,MILK AND MILK PRODUCTS,Ice creams,Scoop (60g),13.68,1.8,0.0,135.66,,1.98,13.68,1.08,0.24,6.72,8.52,True,True,True,False
"Ice cream cones, cake or wafer type",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (4g),3.04,0.0,0.12,16.68,,0.32,0.24,0.07,0.13,0.05,0.28,False,False,False,False
"Ice cream, chocolate",MILK AND MILK PRODUCTS,Ice creams,Cup (132g),37.22,44.88,1.58,285.12,,5.02,33.48,4.24,0.54,8.98,14.52,True,True,True,False
"Ice cream, green tea",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),8.15,3.85,0.55,72.0,,1.45,8.15,0.75,0.09,2.85,3.7,True,True,True,False
"Ice cream, strawberry",MILK AND MILK PRODUCTS,Ice creams,Scoop (60g),16.56,0.0,0.18,115.2,,1.92,0.0,0.0,0.0,3.11,5.04,True,True,True,False
"Ice cream, sundae, hot fudge, McDonalds'",FAST FOODS,All fast food outlets in alphabetical order,Cup (165g),54.99,1.65,6.01,333.3,,6.6,49.83,2.56,0.43,6.11,10.0,True,True,True,False
"Ice cream, sundae, strawberry, McDonalds'",FAST FOODS,All fast food outlets in alphabetical order,Cup (165g),51.0,0.0,5.0,283.8,,3.3,41.78,1.73,0.33,3.2,7.0,True,True,True,False
"Ice cream, vanilla",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),11.3,27.55,0.15,113.5,,2.15,10.0,1.66,0.23,4.07,6.65,True,True,True,False
"Ice cream, vanilla, W/ chocolate coating",MILK AND MILK PRODUCTS,Ice creams,Whole (148g),35.67,39.81,0.0,488.55,,6.22,30.64,0.0,0.0,19.39,35.67,True,True,True,False
"Ice cream, with chocolate chips",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),11.05,7.45,0.65,95.0,,1.4,11.05,1.21,0.28,3.36,5.0,True,True,True,False
"Ice cream, with nuts",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),10.85,14.6,2.75,115.5,,1.75,10.7,2.37,0.46,4.26,7.25,True,True,True,False
"Ice jackfruit, with selashi","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (331g),29.93,0.0,3.48,195.29,,1.66,29.92,0.43,0.1,6.65,7.65,True,True,True,False
Ice jelly,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (200g),15.2,0.0,0.6,62.0,,0.2,14.0,0.0,0.0,0.0,0.0,True,True,True,False
Ice jelly served mixed fruit,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (350g),37.84,0.0,1.65,152.61,,0.56,36.65,0.0,0.0,0.02,0.12,True,True,True,False
Ice kacang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (400g),56.4,0.0,10.4,252.0,,4.8,38.0,0.4,0.24,0.48,1.2,True,True,True,False
"Ice kacang, less sweet","SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (400g),35.6,0.0,10.4,172.0,,4.8,28.4,0.4,0.24,0.48,1.2,True,True,True,False
Ice kachang,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (406g),54.81,,3.65,255.78,,5.68,44.66,0.49,0.37,0.73,1.62,True,True,True,False
Ice limau,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),17.58,0.0,1.45,73.25,,0.5,3.1,0.0,0.0,0.0,0.38,True,True,True,False
Ice lolly,MILK AND MILK PRODUCTS,Ice creams,Stick (80g),13.68,,0.0,53.54,,0.24,13.68,,,,0.08,True,True,True,False
"Ice milk, vanilla",MILK AND MILK PRODUCTS,Ice creams,Scoop (45g),8.96,1.8,0.0,78.19,,1.85,8.96,0.9,0.21,3.02,4.14,True,True,True,False
Ice sea coconut,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (250g),34.23,0.0,0.98,138.23,,0.48,22.65,0.0,0.0,0.0,0.0,True,True,True,False
Ice soursop,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (299g),46.65,0.0,1.61,202.12,,0.75,46.64,0.0,0.0,0.0,1.41,True,True,True,False
Ice sweetcorn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (292g),21.99,2.92,6.77,164.4,,3.1,15.04,1.37,0.79,4.58,7.12,True,True,True,False
Ice teh o limau,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),17.85,0.0,1.5,76.88,,0.53,16.45,0.0,0.0,0.0,0.4,True,True,True,False
Ice teh o longan,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),18.6,0.0,0.35,74.35,,0.2,18.33,0.0,0.0,0.0,0.03,True,True,True,False
Ice teh o lychee,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),18.6,0.0,0.35,74.2,,0.2,18.33,0.0,0.0,0.0,0.3,True,True,True,False
Iced lemon tea,BEVERAGES,Non-alcoholic beverages,Cup (259g),22.02,0.0,0.0,87.28,,0.26,22.02,0.0,0.0,0.0,0.0,True,True,True,False
Idli,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (75g),15.45,0.0,1.95,79.23,,3.38,0.0,0.15,0.08,0.23,0.45,True,True,True,False
Ikan bilis,FISH AND FISH PRODUCTS,Fish and roe,Plate-16cm (49g),0.7,105.3,0.0,148.67,,31.79,0.58,0.36,0.05,1.05,2.08,True,True,True,False
"Ikan bilis, whole, dried, raw",FISH AND FISH PRODUCTS,Fish and roe,Cup (57g),0.53,194.54,,160.0,,32.21,0.18,0.67,0.07,1.52,3.23,True,True,True,False
"Ikan bilis, with bone without head and entrail","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-16cm (49g),0.7,,,148.67,,31.79,,,,,2.08,True,True,True,False
"Ikan merah, with ghee, onion, ginger in tomato gravy","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (157g),3.77,37.68,3.61,175.84,,22.61,3.93,1.59,0.19,3.47,8.01,True,True,True,False
Imitation scallop cake,FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Piece (48g),10.27,4.37,0.82,66.24,,3.94,1.87,0.29,0.15,0.28,1.06,True,True,True,False
"Indian rojak, tempeh, battered, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (60g),8.58,0.0,4.92,218.4,,12.66,0.0,5.22,3.84,5.1,14.82,True,True,True,False
Indian stewed potato and peas,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (139.79g),10.62,0.0,4.33,99.25,,4.47,3.63,1.64,1.37,1.19,4.33,True,True,True,False
Indian style bee hoon goreng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (281.46g),56.57,157.62,5.07,501.0,,14.92,1.13,10.41,2.53,9.85,23.64,True,True,True,False
Indian style ice cream,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Scoop (83g),17.41,15.44,0.0,152.39,,4.77,15.77,2.17,0.37,4.15,7.07,True,True,True,False
Instant cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Tablespoon (10g),6.68,0.0,0.36,38.97,,0.79,4.12,0.3,0.07,0.58,1.01,True,True,True,False
"Instant noodle, dry, cooked (HCS)",HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Convenience meals or 'meal-type' products,Packet (200g),61.8,0.0,1.0,500.0,,15.0,6.0,8.92,2.56,9.92,21.6,True,True,True,False
Instant noodles with vegetables,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (552.1g),55.21,0.0,6.63,397.51,,8.83,0.55,5.91,1.44,7.4,15.46,True,True,True,False
Ipoh hor fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (449g),66.0,71.84,6.74,453.49,305.32,15.72,0.0,6.29,2.69,4.49,13.92,True,True,True,False
Isolated soy protein,MISCELLANEOUS,Others,Tablespoon (7.9g),0.63,0.32,,29.07,,5.93,0.55,0.04,0.21,0.06,0.32,True,True,True,False
Isotonic drink (HCS),HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Beverages and sweetened drinks,Can (330g),20.79,0.0,0.0,82.5,,0.0,20.79,0.0,0.0,0.0,0.0,True,True,True,False
Itik sioh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (200g),12.8,120.0,5.0,484.0,,36.6,12.4,14.6,4.6,10.6,31.8,True,True,True,False
Jackfruit,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Seed (23.4g),6.04,0.0,0.7,27.38,,0.59,,0.0,0.0,0.0,0.09,True,True,True,False
Jackfruit fritter,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (49g),11.91,0.0,1.57,98.49,,1.47,5.1,1.81,0.44,2.55,5.0,True,True,True,False
Jackfruit ice potong,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Stick (78g),13.42,2.34,0.86,112.32,,0.86,12.48,0.44,0.09,5.22,6.08,True,True,True,False
"Jackfruit, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Seed (41g),7.63,0.0,0.82,31.98,,0.16,6.27,0.02,0.02,0.03,0.08,True,True,True,False
"Jackfruit, raw, peeled, flesh only",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (37.84g),2.76,0.0,1.14,14.0,,0.61,,0.0,0.0,0.0,0.08,True,True,True,False
Jajangmyeon (Noodles in Black Bean Sauce),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (492g),68.39,,13.28,492.0,,25.58,8.36,5.46,3.15,4.23,12.84,True,True,True,False
Jalebi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (113.73g),65.17,4.55,0.34,358.25,,5.0,31.39,3.64,1.3,3.26,8.53,True,True,True,False
"Jam, berry","SUGARS, SWEETS AND CONFECTIONERY","Jams, jellies, preserves",Tablespoon (20g),13.46,0.0,0.32,52.63,,0.06,13.44,0.0,0.0,0.0,0.0,True,True,True,False
"Jam, kaya","SUGARS, SWEETS AND CONFECTIONERY","Jams, jellies, preserves",Teaspoon (8g),3.83,9.08,0.09,25.18,,0.31,3.47,0.15,0.04,0.71,0.96,True,True,True,False
"Jam, mango","SUGARS, SWEETS AND CONFECTIONERY","Jams, jellies, preserves",Tablespoon (21g),15.88,,0.13,63.63,,0.0,,,,,0.02,True,True,True,False
"Jam, no added sugar",HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Fruit & fruit products,Tablespoon (10g),1.8,0.0,0.76,7.4,,0.04,1.8,0.0,0.0,0.0,0.0,True,True,True,False
"Jam, pineapple","SUGARS, SWEETS AND CONFECTIONERY","Jams, jellies, preserves",Tablespoon (22g),12.58,,0.2,51.69,,0.18,12.54,,,,0.07,True,True,True,False
"Jam, stone fruit","SUGARS, SWEETS AND CONFECTIONERY","Jams, jellies, preserves",Tablespoon (20g),12.8,0.0,0.18,49.9,,0.04,12.78,0.0,0.0,0.0,0.0,True,True,True,False
"Jam, unspecified","SUGARS, SWEETS AND CONFECTIONERY","Jams, jellies, preserves",Tablespoon (26g),17.13,0.0,0.34,66.18,,0.08,17.11,0.0,0.0,0.0,0.0,True,True,True,False
"Jangri , fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (69g),40.3,0.0,2.07,309.12,,2.76,30.02,0.0,1.57,6.6,15.18,True,True,True,False
Japanese Pork Ramen,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (587g),52.83,,8.81,469.6,,33.46,4.11,6.1,2.58,5.4,14.15,True,True,True,False
Japanese black pepper noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Packet (323g),64.6,38.76,5.17,484.5,,23.9,16.47,6.07,4.04,3.49,14.86,True,True,True,False
Japanese mushroom noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Packet (307g),66.01,36.84,7.06,469.71,,21.8,15.96,5.25,4.3,2.95,13.51,True,True,True,False
Japanese shio ramen,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (676g),59.49,,2.03,621.92,,39.21,6.76,10.88,4.8,9.53,25.49,True,True,True,False
Japanese shoyu ramen,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (659g),61.29,,1.32,632.64,,33.61,6.59,12.32,5.34,10.15,27.88,True,True,True,False
Japchae (Korean stir fried glass noodles with chicken),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (442g),62.32,,11.93,503.88,,25.19,12.82,6.98,4.64,5.48,17.11,True,True,True,False
"Jelly, crystals, unspecified flavour","SUGARS, SWEETS AND CONFECTIONERY","Jams, jellies, preserves",Tablespoon (18g),16.33,0.0,,68.12,,1.28,16.33,0.0,0.0,0.0,0.0,True,True,True,False
"Jelly, prepared","SUGARS, SWEETS AND CONFECTIONERY","Jams, jellies, preserves",Cup (280g),45.36,0.0,0.0,193.2,,3.64,45.36,0.0,0.0,0.0,0.0,True,True,True,False
"Jellyfish, raw",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",1 portion (40g),1.52,,0.0,13.2,,1.48,,0.04,0.04,0.04,0.12,True,True,True,False
Jemput pisang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (76g),33.36,0.0,1.6,219.64,52.44,4.03,10.34,3.19,0.76,3.5,7.83,True,True,True,False
"Jew's ear, soaked",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (99g),3.37,0.0,2.57,20.79,,1.49,0.0,0.0,0.0,0.0,0.2,True,True,True,False
"Jew's ears, dried",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (26g),12.79,0.0,8.01,57.73,,1.56,,0.0,0.0,0.0,0.03,True,True,True,False
"Jewfish, brown, raw",FISH AND FISH PRODUCTS,Fish and roe,Piece (18g),0.07,,0.0,16.74,,3.49,,,,,0.27,True,True,True,False
"Jewfish, silver, raw",FISH AND FISH PRODUCTS,Fish and roe,Piece (22g),0.26,,0.0,21.34,,4.11,,0.2,0.07,0.02,0.42,True,True,True,False
"Juice drink, with aloe vera","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (250g),24.5,0.0,0.25,97.5,,0.0,24.5,0.0,0.0,0.0,0.0,True,True,True,False
"Juice, apple, sparkling",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Can (375g),38.63,0.0,0.0,152.51,,0.0,38.63,0.0,0.0,0.0,0.0,True,True,True,False
"Juice, carrot, canned",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Glass (250ml) (250g),23.25,0.0,2.0,98.59,,2.38,21.75,0.03,0.25,0.08,0.5,True,True,True,False
"Juice, carrot, concentrate","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,1 portion (235.31g),93.58,0.0,2.31,374.35,,0.0,91.84,0.0,0.0,0.0,0.0,True,True,True,False
"Juice, grape",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (266g),35.64,0.0,0.0,140.63,,0.53,35.64,0.0,0.0,0.0,0.0,True,True,True,False
"Juice, grape, unsweetened",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (253g),29.6,,0.0,118.52,,0.76,29.6,,,,0.25,True,True,True,False
"Juice, grapefruit, commercial, no added sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (259g),16.06,,0.26,77.38,,1.3,16.06,,,,0.26,True,True,True,False
"Juice, lemon",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (244g),11.22,0.0,0.24,54.29,,1.71,11.22,0.0,0.0,0.0,0.49,True,True,True,False
"Juice, lemon, canned or bottled",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (244g),15.86,0.0,0.0,51.24,,0.98,0.0,0.02,0.2,0.1,0.73,True,True,True,False
"Juice, lime, fresh",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Tablespoon (14g),1.26,0.0,0.0,3.78,,0.06,1.26,0.0,0.0,0.0,0.01,True,True,True,False
"Juice, orange and mango",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (260g),20.8,0.0,0.78,94.54,,1.56,19.5,0.0,0.0,0.0,0.26,True,True,True,False
"Juice, orange, commercial",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Glass (250ml) (262g),22.01,0.0,0.26,94.32,,1.57,22.01,0.0,0.0,0.0,0.0,True,True,True,False
"Juice, orange, commercial, no added sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Glass (250ml) (260g),19.24,0.0,0.26,88.4,,1.56,19.24,,,,0.26,True,True,True,False
"Juice, pineapple, canned",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (263g),27.09,0.0,0.0,115.14,,0.79,27.09,0.0,0.0,0.0,0.26,True,True,True,False
"Juice, pineapple, fresh","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (225g),17.1,0.0,0.45,69.75,,0.45,15.98,0.0,0.0,0.0,0.02,True,True,True,False
"Juice, prune",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (256g),44.67,0.0,2.56,181.11,,1.54,,0.01,0.02,0.01,0.08,True,True,True,False
KFC cheese fries,FAST FOODS,All fast food outlets in alphabetical order,Plate-16cm (186g),44.7,5.58,2.98,571.02,,5.58,1.34,17.07,11.57,11.79,41.5,True,True,True,False
"KFC popcorn chicken, regular",FAST FOODS,All fast food outlets in alphabetical order,Packet (150g),27.2,45.0,3.0,445.5,,21.0,0.27,12.39,2.84,11.4,28.2,True,True,True,False
Kacang pool,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Bowl-soup (16 and 1/2 cm) (325g),14.95,185.25,9.75,416.0,,19.18,1.63,12.71,4.55,12.48,31.2,True,True,True,False
"Kale, boiled, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Cup (130g),7.32,0.0,1.04,36.4,,2.47,0.0,0.04,0.25,0.07,0.52,True,True,True,False
"Kale, chinese, raw",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Stalk (41g),2.95,0.0,0.25,17.63,,1.15,2.73,0.01,0.04,0.01,0.08,True,True,True,False
"Kale, with fish, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (134.41g),3.63,0.0,1.34,64.52,,1.48,1.88,1.76,1.4,1.47,4.84,True,True,True,False
"Kampung chicken, boiled, no skin","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,One half (246g),0.0,230.5,0.0,396.06,,75.03,0.0,4.38,1.87,3.86,10.82,True,True,True,False
"Kampung chicken, raw",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",One half (506g),0.0,208.98,0.0,718.52,,98.67,0.0,14.32,9.01,10.17,35.93,True,True,True,False
"Kangkong, boiled, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Cup (98g),3.64,0.0,1.86,19.6,,2.04,,0.01,0.1,0.04,0.24,True,True,True,False
"Kantan flower, fresh",MISCELLANEOUS,"Herbs, spices, condiments",Whole (70g),3.85,,1.68,28.01,,1.12,,,,,0.91,True,True,True,False
Katsuofuridashi Japanese soup base,MISCELLANEOUS,"Stock cubes / flavourings, essence, yeast extracts,etc",Tablespoon (15g),3.41,0.0,0.0,28.98,,3.41,3.41,0.0,0.0,0.0,0.0,True,True,True,False
Kaya Butter Steamed Bread,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (150g),60.9,,1.35,435.0,,8.85,23.85,4.43,1.02,11.18,17.27,True,True,True,False
Kaya Toast with Butter,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (29g),14.79,,0.15,108.75,17.11,1.91,5.31,1.02,0.21,3.29,4.67,True,True,True,False
Kaya bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (60g),33.36,17.94,0.9,189.6,32.4,4.32,11.04,1.82,0.51,1.75,4.32,True,True,True,False
Kaya cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (89g),23.14,83.66,1.51,220.72,,3.83,15.22,2.06,0.43,9.34,12.55,True,True,True,False
Kaya waffle,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (120g),52.4,65.64,1.1,417.48,,8.03,34.08,4.01,2.46,12.2,19.52,True,True,True,False
"Kebab, beef, without sauce","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (183g),44.29,21.96,6.41,398.94,,27.45,6.41,5.18,0.22,4.94,12.44,True,True,True,False
Kee Chang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (96g),37.39,0.0,0.29,163.7,,2.69,7.35,0.0,0.0,0.0,0.38,True,True,True,False
"Kei chi, seeds",MISCELLANEOUS,"Herbs, spices, condiments",Gram (1g),0.47,,0.17,2.58,,0.14,,,,,0.02,True,True,True,False
Kembong raw,FISH AND FISH PRODUCTS,Fish and roe,Piece (139g),0.0,31.97,0.0,132.05,,29.61,0.0,0.31,0.15,0.63,1.67,True,True,True,False
Kesari,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (60g),31.2,4.8,0.66,187.8,,1.8,19.68,2.4,0.22,2.42,6.24,True,True,True,False
Keseri,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (122.72g),59.27,11.04,1.72,315.39,,3.68,33.99,2.59,0.53,3.68,7.12,True,True,True,False
Ketupat,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Whole (95g),19.76,0.0,0.95,87.64,67.45,2.19,,0.0,0.0,0.0,0.0,True,True,True,False
Kheema,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (64.58g),1.78,32.96,1.45,98.23,,9.36,1.09,2.32,0.84,2.52,5.96,True,True,True,False
Kheema with coconut milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (239g),18.16,88.43,5.98,380.01,,13.38,8.6,6.5,0.98,17.52,28.2,True,True,True,False
Kidney mee sua soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (578g),38.15,202.3,2.89,277.44,,15.61,0.58,2.31,1.73,2.89,7.51,True,True,True,False
Kim Chi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,1 portion (75g),6.6,-0.75,2.4,32.25,,1.58,2.4,0.0,0.0,0.0,0.0,True,True,True,False
Kimchi pancake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Piece (300g),77.7,,6.3,819.0,,12.3,8.1,23.4,8.37,18.93,50.85,True,True,True,False
King spare ribs,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (120g),6.0,39.6,0.0,268.8,,26.16,2.16,6.6,1.8,6.36,15.48,True,True,True,False
"Kissing gouramy, raw",FISH AND FISH PRODUCTS,Fish and roe,Piece (69g),0.0,,0.0,58.71,,13.66,0.0,,,,0.41,True,True,True,False
Kiwi juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (292g),23.94,0.0,4.67,113.88,,1.17,14.31,0.47,0.23,0.35,1.46,True,True,True,False
"Kiwifruit, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (88.4g),8.22,0.0,1.41,43.32,,0.8,7.78,,,,0.53,True,True,True,False
Kong Yen Japanese Curry,MISCELLANEOUS,"Sauces, gravies (manufactured)",1 portion (18.3g),7.9,6.1,,93.2,,1.0,1.2,,,4.3,6.4,True,True,True,False
Konjac powder,MISCELLANEOUS,"Herbs, spices, condiments",Tablespoon (7g),0.28,,5.21,2.59,,0.32,,0.0,0.0,0.0,0.01,True,True,True,False
Kopi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (194g),17.54,0.0,0.0,134.75,,3.01,17.54,2.35,0.56,0.91,4.0,True,True,True,False
Kopi C,BEVERAGES,Non-alcoholic beverages,Cup (194g),14.16,3.88,0.78,87.3,,2.52,14.16,0.85,0.21,1.24,2.33,False,False,False,False
Kopi C siu dai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (194g),11.06,3.88,0.78,75.66,,2.52,11.06,0.85,0.21,1.24,2.33,True,True,True,False
Kopi O,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (250g),15.5,0.0,0.0,85.0,,0.5,15.5,1.35,0.08,0.78,2.25,True,True,True,False
Kopi O siu dai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (194g),9.12,0.0,0.0,54.32,,0.39,9.12,1.05,0.06,0.6,1.75,True,True,True,False
Kopi siu dai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (194g),13.19,1.94,0.0,104.76,,1.75,13.19,1.92,0.43,2.41,5.04,True,True,True,False
Korean Beef Stew Soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (697g),13.24,,7.67,209.1,,23.0,,2.58,1.25,2.65,6.76,True,True,True,False
Korean Bulgogi Chicken with Rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (493g),71.98,,11.83,650.76,,40.92,17.75,9.61,4.49,8.04,22.14,True,True,True,False
